fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_easyocr
68;bus;0.7643815279006958;1324;201;1537;396;NO;1325;201;1536;389;;0.000184;0.076247
69;bus;0.7682362198829651;1324;203;1534;397;NO;1325;204;1533;390;;0.000280;0.009666
70;bus;0.7441288828849792;1324;204;1531;395;NO;1326;204;1530;388;;0.000168;0.012430
71;bus;0.7579914331436157;1324;204;1528;398;NO;1325;204;1527;392;;0.000287;0.012470
72;bus;0.7596768140792847;1321;205;1524;396;NO;1322;205;1523;393;;0.000179;0.012286
73;bus;0.7680552005767822;1320;208;1524;394;NO;1320;208;1523;388;;0.000156;0.012218
74;bus;0.7859919667243958;1321;209;1520;393;NO;1322;209;1519;387;;0.000180;0.012610
75;bus;0.7740035653114319;1320;210;1515;392;NO;1321;210;1514;387;;0.000431;0.012957
76;bus;0.7823843359947205;1319;210;1513;393;NO;1320;210;1512;390;;0.000171;0.082980
77;bus;0.7467359304428101;1319;211;1511;390;NO;1320;211;1510;385;;0.000203;0.012073
81;bus;0.7696449160575867;1317;214;1501;390;NO;1318;214;1500;384;;0.000194;0.011833
82;bus;0.7918550372123718;1315;215;1499;389;NO;1316;215;1498;386;;0.000159;0.011849
83;bus;0.7761338353157043;1316;214;1497;391;NO;1317;214;1496;386;;0.000158;0.013394
84;bus;0.7742271423339844;1314;214;1495;389;NO;1315;214;1494;383;;0.000330;0.012766
85;bus;0.7371875047683716;1314;215;1490;387;NO;1314;215;1489;380;;0.000152;0.012161
86;bus;0.7069119215011597;1314;216;1489;388;NO;1314;216;1488;381;;0.000196;0.012481
97;car;0.7249678373336792;1448;319;1514;382;NO;1448;319;1513;380;;0.000268;0.007852
97;bus;0.7033511400222778;1311;223;1464;381;NO;1312;223;1464;380;;0.000268;0.067796
98;bus;0.754375696182251;1310;225;1463;380;NO;1311;225;1463;380;;0.000197;0.010411
98;car;0.7101313471794128;1449;320;1514;381;NO;1449;320;1513;381;;0.000197;0.006960
99;bus;0.7274625897407532;1310;226;1462;380;NO;1310;226;1462;380;;0.000151;0.010552
99;car;0.7210901975631714;1445;320;1514;380;NO;1459;320;1513;378;;0.000151;0.006613
100;bus;0.783915102481842;1309;226;1460;380;NO;1309;226;1460;379;;0.000197;0.010668
100;car;0.7123953700065613;1442;319;1514;380;NO;1444;319;1513;378;;0.000197;0.008814
101;bus;0.8089321851730347;1308;226;1459;378;NO;1308;226;1459;377;;0.000156;0.010870
102;bus;0.7013636231422424;1309;227;1458;379;NO;1309;227;1457;378;;0.000158;0.011155
103;bus;0.7829713821411133;1309;228;1457;378;NO;1309;228;1457;377;;0.000153;0.011456
104;bus;0.7648444175720215;1310;228;1457;379;NO;1310;228;1456;377;;0.000249;0.011286
104;car;0.7171441912651062;1436;320;1518;382;NO;1455;320;1517;380;;0.000249;0.007896
105;car;0.7269627451896667;1437;320;1519;382;NO;1437;320;1519;381;;0.000165;0.007649
106;bus;0.7725866436958313;1308;229;1453;379;NO;1308;229;1452;378;;0.000182;0.010975
106;car;0.7277166247367859;1435;320;1519;382;NO;1436;320;1518;382;;0.000182;0.006960
107;bus;0.7514396905899048;1309;230;1449;379;NO;1309;230;1449;378;;0.000108;0.011486
107;car;0.736254870891571;1434;320;1519;382;NO;1434;320;1518;380;;0.000108;0.006956
108;car;0.7318606972694397;1434;320;1519;381;NO;1434;320;1517;380;;0.000176;0.006763
109;car;0.7315117716789246;1433;320;1518;381;NO;1433;320;1517;380;;0.000157;0.007311
110;bus;0.761297345161438;1303;232;1446;377;NO;1303;232;1446;376;;0.000223;0.012340
110;car;0.7443272471427917;1431;321;1517;381;NO;1431;321;1516;380;;0.000223;0.007724
111;car;0.7568498253822327;1431;321;1518;381;NO;1431;321;1517;381;;0.000151;0.007925
111;bus;0.7550589442253113;1303;233;1443;377;NO;1303;233;1441;376;;0.000151;0.011949
112;car;0.7587039470672607;1430;321;1517;381;NO;1430;321;1516;381;;0.000204;0.007048
113;car;0.7682345509529114;1428;321;1517;382;NO;1428;321;1516;382;;0.000211;0.007222
114;car;0.7779580354690552;1428;321;1517;382;NO;1428;321;1516;382;;0.000160;0.009420
115;car;0.7960327863693237;1425;320;1517;382;NO;1425;320;1516;382;;0.000186;0.006883
116;car;0.7886006832122803;1424;321;1517;382;NO;1424;321;1516;382;;0.000156;0.007174
117;car;0.7873837947845459;1420;321;1517;382;NO;1420;321;1516;381;;0.000159;0.006947
118;car;0.7968006134033203;1420;320;1516;382;NO;1420;320;1515;382;;0.000271;0.007833
119;car;0.7999687194824219;1421;320;1516;382;NO;1421;320;1515;382;;0.000177;0.007686
120;car;0.7973433136940002;1418;321;1516;382;NO;1418;321;1515;382;;0.000165;0.088186
121;car;0.7646157145500183;1419;321;1517;382;NO;1419;321;1516;382;;0.000428;0.007826
122;car;0.7450394630432129;1417;321;1517;382;NO;1417;321;1516;382;;0.000221;0.008334
123;car;0.7388373017311096;1419;321;1517;382;NO;1419;321;1516;382;;0.000190;0.008706
124;car;0.7410591840744019;1421;322;1517;382;NO;1421;322;1516;381;;0.000157;0.007214
125;car;0.7501545548439026;1422;321;1517;382;NO;1422;321;1516;382;;0.000237;0.008081
126;car;0.7457810044288635;1423;322;1517;381;NO;1423;322;1516;380;;0.000188;0.007579
127;car;0.7439225316047668;1421;322;1516;381;NO;1421;322;1515;381;;0.000282;0.008126
128;car;0.7420047521591187;1422;322;1516;382;NO;1422;322;1516;382;;0.000305;0.007414
128;bus;0.7162753939628601;1289;239;1419;371;NO;1289;239;1418;370;;0.000305;0.013440
129;bus;0.748579740524292;1289;241;1416;371;NO;1289;241;1414;370;;0.000156;0.075314
129;car;0.7358153462409973;1430;321;1516;381;NO;1431;321;1515;380;;0.000156;0.007659
130;car;0.7179685235023499;1432;321;1516;381;NO;1433;321;1515;380;;0.000154;0.007442
130;bus;0.7095319628715515;1287;241;1416;370;NO;1287;241;1415;369;;0.000154;0.083828
131;car;0.715197741985321;1432;321;1515;381;NO;1433;321;1514;380;;0.000208;0.007853
131;bus;0.7004045248031616;1288;242;1415;369;NO;1288;242;1414;368;;0.000208;0.010653
132;car;0.7162792682647705;1429;321;1515;381;NO;1429;321;1514;381;;0.000153;0.007829
132;bus;0.7110481858253479;1287;241;1412;369;NO;1287;241;1410;368;;0.000153;0.010506
133;car;0.7229557037353516;1421;321;1515;382;NO;1421;321;1515;381;;0.000161;0.008422
133;bus;0.7072856426239014;1287;242;1411;368;NO;1287;242;1411;367;;0.000161;0.010801
134;car;0.7132036089897156;1425;321;1514;381;NO;1425;321;1513;381;;0.000198;0.013468
135;car;0.7189955711364746;1425;320;1513;382;NO;1425;320;1512;382;;0.000160;0.013183
136;car;0.7097123861312866;1423;321;1513;382;NO;1423;321;1512;382;;0.000184;0.013116
137;car;0.7174818515777588;1418;320;1513;382;NO;1418;320;1512;382;;0.000207;0.012512
137;bus;0.7121531963348389;1287;246;1409;367;NO;1287;246;1408;363;;0.000207;0.017356
138;car;0.707011342048645;1421;320;1514;382;NO;1421;320;1513;382;;0.000155;0.013040
139;car;0.7070020437240601;1418;320;1514;382;NO;1418;320;1513;382;;0.000152;0.012273
140;bus;0.7005804181098938;1284;249;1405;368;NO;1284;249;1404;363;;0.000215;0.016582
141;bus;0.7016099095344543;1283;249;1402;367;NO;1283;249;1401;363;;0.000190;0.016645
149;bus;0.7166491150856018;1276;250;1392;365;NO;1276;250;1391;362;;0.000137;0.007446
150;bus;0.7389500737190247;1276;250;1392;365;NO;1276;250;1391;364;;0.000220;0.007142
151;bus;0.7526464462280273;1275;250;1391;364;NO;1275;250;1391;359;;0.000158;0.006909
152;bus;0.7775289416313171;1274;250;1389;364;NO;1274;250;1388;361;;0.000232;0.007800
153;bus;0.8252187967300415;1274;251;1386;364;NO;1274;251;1386;363;;0.000161;0.007883
154;bus;0.8121193051338196;1274;250;1385;364;NO;1274;250;1384;363;;0.000166;0.006875
155;bus;0.7739453315734863;1273;251;1384;361;NO;1273;251;1383;358;;0.000159;0.008320
156;bus;0.7818579077720642;1271;251;1382;362;NO;1271;251;1381;361;;0.000151;0.006649
157;bus;0.7565973997116089;1270;252;1381;362;NO;1270;252;1380;359;;0.000216;0.007228
158;bus;0.7538172602653503;1270;252;1379;362;NO;1270;252;1379;361;;0.000203;0.006576
159;bus;0.7090893387794495;1270;252;1378;362;NO;1270;252;1378;362;;0.000199;0.008354
160;bus;0.7475545406341553;1271;251;1380;362;NO;1271;251;1380;362;;0.000109;0.006941
161;bus;0.7829259634017944;1270;252;1379;362;NO;1270;252;1379;362;;0.000167;0.007014
162;bus;0.773150622844696;1269;252;1378;361;NO;1269;252;1377;361;;0.000160;0.007524
163;bus;0.7581536769866943;1269;252;1377;361;NO;1269;252;1377;361;;0.000157;0.006484
164;bus;0.7590615153312683;1270;252;1375;361;NO;1270;252;1373;361;;0.000175;0.007332
165;bus;0.7845379114151001;1269;252;1374;362;NO;1269;252;1372;362;;0.000162;0.007372
166;bus;0.7641716003417969;1266;254;1373;360;NO;1266;254;1372;359;;0.000182;0.007548
167;bus;0.7723640203475952;1263;254;1370;360;NO;1263;254;1369;360;;0.000223;0.007570
168;bus;0.7819696664810181;1264;254;1371;359;NO;1264;254;1370;356;;0.000156;0.006931
169;bus;0.7942745089530945;1261;254;1369;358;NO;1261;254;1368;355;;0.000166;0.006999
170;bus;0.7896712422370911;1260;254;1368;357;NO;1260;254;1367;354;;0.000171;0.008624
171;bus;0.7733396291732788;1258;255;1366;358;NO;1258;255;1365;355;;0.000183;0.007906
172;bus;0.7568880915641785;1258;256;1365;357;NO;1258;256;1364;357;;0.000157;0.006983
173;bus;0.7237162590026855;1258;256;1364;357;NO;1258;256;1363;356;;0.000154;0.008181
