fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_tesseract
357;car;0.9224968552589417;43;49;364;194;SÍ;298;153;335;168;ET3P;0.000108;0.142683
358;car;0.915726900100708;43;48;365;194;SÍ;299;151;337;167;F;0.000087;0.126145
359;car;0.9124854207038879;42;48;366;193;SÍ;301;150;339;165;T;0.000212;0.118550
360;car;0.90245121717453;40;49;365;193;NO;301;148;341;164;;0.000141;0.127517
361;truck;0.8206707835197449;63;1;545;260;SÍ;356;161;452;198;ET3E33P;0.000086;0.123473
362;truck;0.841599702835083;68;1;542;252;SÍ;68;1;542;249;S;0.000086;0.190106
363;truck;0.7393215298652649;72;1;540;247;SÍ;72;1;539;242;7;0.000090;0.190073
364;truck;0.7504165172576904;75;1;537;245;NO;80;1;536;244;;0.000086;0.172781
367;truck;0.7352340817451477;91;1;515;244;NO;91;1;514;244;;0.000082;0.172558
369;car;0.8455494046211243;100;0;505;243;NO;101;0;504;241;;0.000084;0.178662
370;car;0.8234612345695496;100;1;502;244;NO;188;45;438;150;;0.000092;0.143497
371;car;0.769532322883606;95;0;503;244;SÍ;260;141;366;172;ET3633P;0.000095;0.123499
373;car;0.7658279538154602;94;0;509;250;SÍ;245;145;360;177;ET3633P;0.000101;0.131536
374;car;0.8005217909812927;95;0;515;252;SÍ;245;145;357;179;ET3633P;0.000082;0.124369
375;car;0.7481047511100769;97;0;525;253;SÍ;242;147;354;180;ET3633P;0.000082;0.124967
376;car;0.7508488297462463;102;0;538;253;SÍ;249;148;359;179;ET3633P;0.000086;0.127505
379;car;0.7034651637077332;121;0;600;256;SÍ;260;145;368;181;ET3633P;0.000085;0.127321
383;car;0.7879297137260437;128;1;639;259;SÍ;251;146;358;181;ET3633P;0.000079;0.128759
384;car;0.836232602596283;131;1;640;261;SÍ;251;148;353;181;ET3633P;0.000099;0.125555
385;car;0.8209336400032043;130;1;640;262;SÍ;248;147;349;181;ET3633P;0.000084;0.122944
386;car;0.7941367030143738;136;1;640;262;SÍ;248;147;347;181;ET3633P;0.000084;0.138222
387;car;0.7931702136993408;137;1;636;264;SÍ;240;147;339;183;ET3633P;0.000084;0.127838
388;car;0.8047382235527039;137;2;639;265;SÍ;232;148;335;184;ET3633P;0.000085;0.124304
389;car;0.7442381381988525;140;1;639;266;SÍ;234;149;328;183;ET3633P;0.000094;0.121679
390;car;0.8902474641799927;453;125;632;206;SÍ;453;125;631;206;A;0.000082;0.136377
391;car;0.9085744619369507;446;126;623;206;SÍ;446;126;622;206;A;0.000086;0.133502
392;car;0.9131568074226379;440;128;614;206;SÍ;440;128;613;206;A;0.000087;0.137397
393;car;0.9034965634346008;433;130;605;207;NO;433;130;604;207;;0.000086;0.140187
394;car;0.8951833844184875;427;130;597;207;SÍ;427;130;596;207;A;0.000085;0.136497
395;car;0.9184550046920776;422;131;590;209;SÍ;422;131;589;209;OQ;0.000104;0.133968
396;car;0.9200038313865662;416;132;582;209;NO;416;132;581;209;;0.000087;0.132409
397;car;0.9155048727989197;411;133;575;211;NO;411;133;574;210;;0.000082;0.133539
398;car;0.89545738697052;407;132;568;211;NO;407;132;567;211;;0.000082;0.134555
399;car;0.8929853439331055;404;131;561;211;NO;404;131;561;211;;0.000129;0.134137
400;car;0.8967257142066956;399;132;555;211;NO;399;132;555;211;;0.000089;0.131124
401;car;0.9025437235832214;395;131;549;212;NO;395;131;548;211;;0.000086;0.131533
402;car;0.9056268930435181;390;133;542;212;SÍ;390;133;541;212;Y;0.000084;0.132206
403;car;0.9155973792076111;385;133;535;213;NO;385;133;534;213;;0.000087;0.133660
404;car;0.9023224115371704;381;133;529;211;NO;381;133;528;211;;0.000087;0.136768
405;car;0.8754348158836365;375;135;520;212;NO;375;135;519;212;;0.000090;0.131463
406;car;0.8831202983856201;370;138;513;211;NO;370;138;513;211;;0.000087;0.131979
407;car;0.8898069858551025;365;141;506;211;SÍ;365;141;505;211;S;0.000083;0.131617
408;car;0.8848388195037842;361;142;499;211;NO;361;142;498;211;;0.000085;0.134903
409;car;0.8720153570175171;355;143;491;211;SÍ;355;143;490;211;WS;0.000090;0.133712
410;car;0.887079119682312;352;144;484;212;NO;352;144;483;212;;0.000089;0.133050
411;car;0.8522694706916809;346;145;477;211;NO;346;145;476;211;;0.000094;0.128421
412;car;0.8708747625350952;342;146;469;212;SÍ;342;146;468;212;7;0.000083;0.129363
413;car;0.8661767840385437;337;147;462;212;SÍ;337;147;462;212;S;0.000084;0.132463
414;car;0.8787779808044434;332;147;456;213;NO;332;147;456;213;;0.000084;0.133083
415;car;0.8690133690834045;327;149;450;213;SÍ;327;149;450;213;S;0.000120;0.131460
416;car;0.8678173422813416;323;149;442;213;SÍ;323;149;442;213;1S;0.000175;0.129817
417;car;0.8606534004211426;318;150;436;213;SÍ;318;150;435;213;S;0.000083;0.130179
418;car;0.8234938383102417;312;152;430;213;SÍ;312;152;430;213;QS;0.000082;0.135433
419;car;0.8752577900886536;310;153;424;214;SÍ;310;153;424;214;S;0.000086;0.132007
420;car;0.848288357257843;306;154;419;213;NO;306;154;419;213;;0.000095;0.135435
421;car;0.830437183380127;303;155;415;214;SÍ;303;155;415;213;RS;0.000086;0.133016
422;car;0.7531042098999023;300;156;410;215;NO;300;156;410;215;;0.000090;0.132852
423;car;0.8263301849365234;297;157;406;214;SÍ;297;157;406;213;R;0.000088;0.132168
424;car;0.8113595843315125;294;158;403;215;SÍ;294;158;403;215;X;0.000091;0.147367
425;car;0.8404618501663208;292;160;398;216;SÍ;292;160;398;215;CS;0.000095;0.131284
426;car;0.8474536538124084;289;160;393;217;SÍ;289;160;392;216;CS;0.000097;0.130874
427;car;0.8942295908927917;285;160;390;218;SÍ;285;160;390;218;RS;0.000083;0.129709
428;car;0.874043881893158;281;161;387;219;SÍ;281;161;386;219;2;0.000083;0.132657
429;car;0.8659877777099609;277;162;384;219;SÍ;277;162;384;219;CS;0.000199;0.136013
430;car;0.8597604632377625;274;164;379;219;SÍ;274;164;379;219;RS;0.000084;0.131809
431;car;0.8617947697639465;270;164;375;219;NO;270;164;375;219;;0.000083;0.127032
432;car;0.8571478128433228;265;165;371;220;NO;265;165;371;220;;0.000083;0.128835
433;car;0.8283481597900391;263;166;368;221;NO;263;166;368;221;;0.000085;0.128357
434;car;0.8596710562705994;261;167;365;222;SÍ;261;167;364;221;7;0.000084;0.129432
435;car;0.832126259803772;259;168;363;223;NO;259;168;363;222;;0.000084;0.128105
436;car;0.8299067616462708;259;169;362;224;NO;259;169;362;224;;0.000086;0.130277
437;car;0.8099574446678162;260;170;362;225;SÍ;260;170;362;225;RS;0.000083;0.131651
438;car;0.8275402188301086;259;172;362;226;NO;259;172;362;225;;0.000086;0.127210
439;car;0.8342452645301819;260;173;362;227;NO;260;173;362;226;;0.000085;0.133425
440;car;0.8336524963378906;261;173;362;227;SÍ;261;173;362;227;QS;0.000096;0.132009
441;car;0.8270600438117981;261;174;362;228;NO;261;174;362;228;;0.000089;0.134925
442;car;0.842616856098175;261;175;361;228;SÍ;261;175;360;227;S;0.000082;0.128262
443;car;0.837120771408081;261;176;360;230;SÍ;261;176;359;230;9;0.000085;0.134405
444;car;0.827455997467041;259;177;359;232;SÍ;259;177;358;231;S;0.000082;0.129438
445;car;0.8534186482429504;258;179;358;233;SÍ;258;179;358;233;7;0.000107;0.131124
446;car;0.8748641610145569;257;181;357;234;SÍ;257;181;356;233;3;0.000085;0.131235
447;car;0.8635459542274475;257;182;356;235;SÍ;257;182;356;235;9;0.000079;0.126825
448;car;0.857475757598877;256;184;355;236;SÍ;256;184;354;235;S;0.000087;0.128955
449;car;0.8410784006118774;256;185;353;238;SÍ;256;185;352;237;9;0.000081;0.126920
450;car;0.8012256026268005;255;186;351;240;NO;255;186;351;240;;0.000082;0.139098
451;car;0.8365939855575562;254;188;351;242;SÍ;254;188;351;241;7;0.000089;0.131423
452;car;0.846290111541748;253;189;350;243;NO;253;189;350;242;;0.000093;0.128189
453;car;0.8489274382591248;252;190;349;243;SÍ;252;190;348;243;F9;0.000081;0.129789
454;car;0.818662166595459;251;192;348;246;SÍ;251;192;348;245;9;0.000081;0.136141
455;car;0.8281859755516052;252;194;347;247;SÍ;252;194;347;246;S;0.000082;0.141823
456;car;0.7570931911468506;250;196;346;249;SÍ;250;196;346;248;9;0.000101;0.130269
457;car;0.7980073094367981;250;196;346;251;NO;250;196;346;250;;0.000140;0.142565
458;car;0.7663993239402771;249;198;345;252;SÍ;249;198;345;251;9;0.000096;0.128105
459;car;0.7598658204078674;249;199;345;254;NO;249;199;345;253;;0.000084;0.139886
460;car;0.7750491499900818;248;201;344;254;SÍ;248;201;344;253;S;0.000080;0.140501
461;car;0.7889381647109985;247;202;343;257;SÍ;247;202;343;256;7;0.000096;0.134615
462;car;0.7503125071525574;247;202;343;258;NO;247;202;343;257;;0.000084;0.132040
